Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,
BARR RANCH 1,7256.823063,0,0,1,0,0,
BARR RANCH 1,7262.825465,0,0,2,0,0,
BARR RANCH 1,7265.170847,3,0,0,0,0,
BARR RANCH 1,7265.638235,0,0,3,0,0,
BARR RANCH 1,7274.205886,0,0,1,0,0,
BARR RANCH 1,7275.749204,3,0,0,0,0,
BARR RANCH 1,7276.90339,2,0,0,0,0,
BARR RANCH 1,7279.207888,0,0,2,0,0,
BARR RANCH 1,7286.32756,3,0,0,0,0,
BARR RANCH 1,7289.508676,0,0,3,0,0,
BARR RANCH 1,7291.588709,0,0,1,0,0,
BARR RANCH 1,7295.59031,0,0,2,0,0,
BARR RANCH 1,7296.905917,3,0,0,0,0,
BARR RANCH 1,7305.678658,2,0,0,0,0,
BARR RANCH 1,7307.484273,3,0,0,0,0,
BARR RANCH 1,7308.971532,0,0,1,0,0,
BARR RANCH 1,7311.972733,0,0,2,0,0,
BARR RANCH 1,7313.379117,0,0,3,0,0,
BARR RANCH 1,7318.06263,3,0,0,0,0,
BARR RANCH 1,7326.354354,0,0,1,0,0,
BARR RANCH 1,7328.355155,0,0,2,0,0,
BARR RANCH 1,7328.640987,3,0,0,0,0,
BARR RANCH 1,7334.453926,2,0,0,0,0,
BARR RANCH 1,7337.249559,0,0,3,0,0,
BARR RANCH 1,7339.219343,3,0,0,0,0,
BARR RANCH 1,7343.737177,0,0,1,0,0,
BARR RANCH 1,7344.737578,0,0,2,0,0,
BARR RANCH 1,7349.7977,3,0,0,0,0,
BARR RANCH 1,7360.376056,3,0,0,0,0,
BARR RANCH 1,7364.789416,2,0,0,0,0,
BARR RANCH 1,7379.784542,3,0,0,0,0,
BARR RANCH 1,7399.861,3,0,0,0,0,
BARR RANCH 1,7414.850437,2,0,0,0,0,
BARR RANCH 1,7419.937457,3,0,0,0,0,
BARR RANCH 1,7440.013915,3,0,0,0,0,
BARR RANCH 1,7460.090373,3,0,0,0,0,
BARR RANCH 1,7464.911458,2,0,0,0,0,
BARR RANCH 1,7480.166831,3,0,0,0,0,
BARR RANCH 1,7500.243288,3,0,0,0,0,
BARR RANCH 1,7514.972479,2,0,0,0,0,
BARR RANCH 1,7520.319746,3,0,0,0,0,
BARR RANCH 1,7540.396204,3,0,0,0,0,
BARR RANCH 1,7560.472662,3,0,0,0,0,
BARR RANCH 1,7565.0335,2,0,0,0,0,
BARR RANCH 1,7580.54912,3,0,0,0,0,
BARR RANCH 1,7600.625577,3,0,0,0,0,
BARR RANCH 1,7615.094521,2,0,0,0,0,
BARR RANCH 1,7620.702035,3,0,0,0,0,
BARR RANCH 1,7640.778493,3,0,0,0,0,
BARR RANCH 1,7660.854951,3,0,0,0,0,
BARR RANCH 1,7665.155543,2,0,0,0,0,
BARR RANCH 1,7680.931408,3,0,0,0,0,
BARR RANCH 1,7701.007866,3,0,0,0,0,
BARR RANCH 1,7715.216564,2,0,0,0,0,
BARR RANCH 1,7721.084324,3,0,0,0,0,
BARR RANCH 1,7741.160782,3,0,0,0,0,
BARR RANCH 1,7761.237239,3,0,0,0,0,
BARR RANCH 1,7765.277585,2,0,0,0,0,
BARR RANCH 1,7781.313697,3,0,0,0,0,
BARR RANCH 1,7794.346569,2,0,0,0,0,
BARR RANCH 1,7795.147276,3,0,0,0,0,
BARR RANCH 1,7808.291554,3,0,0,0,0,
BARR RANCH 1,7811.596833,2,0,0,0,0,
BARR RANCH 1,7821.435832,3,0,0,0,0,
BARR RANCH 1,7828.847097,2,0,0,0,0,
BARR RANCH 1,7834.58011,3,0,0,0,0,
BARR RANCH 1,7846.097361,2,0,0,0,0,
BARR RANCH 1,7847.724388,3,0,0,0,0,
BARR RANCH 1,7860.868666,3,0,0,0,0,
BARR RANCH 1,7863.347625,2,0,0,0,0,
BARR RANCH 1,7874.012944,3,0,0,0,0,
BARR RANCH 1,7880.597889,2,0,0,0,0,
BARR RANCH 1,7887.157221,3,0,0,0,0,
BARR RANCH 1,7897.848152,2,0,0,0,0,
BARR RANCH 1,7900.301499,3,0,0,0,0,
BARR RANCH 1,7913.445777,3,0,0,0,0,
BARR RANCH 1,7915.098416,2,0,0,0,0,
BARR RANCH 1,7926.590055,3,0,0,0,0,
BARR RANCH 1,7932.34868,2,0,0,0,0,
BARR RANCH 1,7939.734333,3,0,0,0,0,
BARR RANCH 1,7949.598944,2,0,0,0,0,
BARR RANCH 1,7952.878611,3,0,0,0,0,
BARR RANCH 1,7966.022889,3,0,0,0,0,
BARR RANCH 1,7966.849208,2,0,0,0,0,
BARR RANCH 1,7979.167166,3,0,0,0,0,
BARR RANCH 1,7984.099472,2,0,0,0,0,
BARR RANCH 1,7992.311444,3,0,0,0,0,
BARR RANCH 1,8001.349736,2,0,0,0,0,
BARR RANCH 1,8005.455722,3,0,0,0,0,
BET THE FARM UNIT 1,6058.330501,3,0,0,0,0,
BET THE FARM UNIT 1,6073.316508,2,0,0,0,0,
BET THE FARM UNIT 1,6073.521001,3,0,0,0,0,
BET THE FARM UNIT 1,6088.711502,3,0,0,0,0,
BET THE FARM UNIT 1,6103.493016,2,0,0,0,0,
BET THE FARM UNIT 1,6103.902002,3,0,0,0,0,
BET THE FARM UNIT 1,6119.092503,3,0,0,0,0,
BET THE FARM UNIT 1,6133.669524,2,0,0,0,0,
BET THE FARM UNIT 1,6134.283004,3,0,0,0,0,
BET THE FARM UNIT 1,6147.380274,3,0,0,0,0,
BET THE FARM UNIT 1,6158.532916,2,0,0,0,0,
BET THE FARM UNIT 1,6159.167637,3,0,0,0,0,
BET THE FARM UNIT 1,6170.955001,3,0,0,0,0,
BET THE FARM UNIT 1,6180.995323,2,0,0,0,0,
BET THE FARM UNIT 1,6183.327038,3,0,0,0,0,
BET THE FARM UNIT 1,6196.931672,3,0,0,0,0,
