,MD,Well
89,6593.103749999999,OLDHAM 1
90,6607.19,OLDHAM 1
91,6621.676470588235,OLDHAM 1
92,6636.162941176471,OLDHAM 1
93,6650.649411764705,OLDHAM 1
94,6665.135882352941,OLDHAM 1
95,6679.622352941176,OLDHAM 1
96,6694.108823529412,OLDHAM 1
97,6708.5952941176465,OLDHAM 1
98,6723.081764705882,OLDHAM 1
99,6737.568235294118,OLDHAM 1
100,6752.054705882353,OLDHAM 1
101,6766.541176470588,OLDHAM 1
102,6781.027647058823,OLDHAM 1
103,6795.514117647059,OLDHAM 1
104,6810.000588235294,OLDHAM 1
105,6824.48705882353,OLDHAM 1
106,6838.9735294117645,OLDHAM 1
107,6853.46,OLDHAM 1
108,6868.20619047619,OLDHAM 1
109,6882.952380952381,OLDHAM 1
110,6897.698571428571,OLDHAM 1
111,6912.444761904762,OLDHAM 1
112,6927.190952380953,OLDHAM 1
113,6941.937142857143,OLDHAM 1
114,6956.683333333333,OLDHAM 1
115,6971.429523809524,OLDHAM 1
116,6986.175714285714,OLDHAM 1
117,7000.921904761904,OLDHAM 1
118,7015.668095238096,OLDHAM 1
119,7030.414285714286,OLDHAM 1
120,7045.160476190476,OLDHAM 1
121,7059.906666666667,OLDHAM 1
122,7074.652857142857,OLDHAM 1
123,7089.399047619047,OLDHAM 1
124,7104.145238095238,OLDHAM 1
125,7118.891428571429,OLDHAM 1
126,7133.637619047619,OLDHAM 1
127,7148.38380952381,OLDHAM 1
128,7163.13,OLDHAM 1
129,7180.710303030303,OLDHAM 1
130,7198.2906060606065,OLDHAM 1
131,7215.870909090909,OLDHAM 1
132,7233.451212121212,OLDHAM 1
133,7251.031515151515,OLDHAM 1
134,7268.611818181818,OLDHAM 1
135,7286.1921212121215,OLDHAM 1
136,7303.772424242425,OLDHAM 1
137,7321.352727272727,OLDHAM 1
138,7338.93303030303,OLDHAM 1
139,7356.513333333333,OLDHAM 1
140,7374.0936363636365,OLDHAM 1
141,7391.67393939394,OLDHAM 1
142,7409.254242424242,OLDHAM 1
143,7426.834545454545,OLDHAM 1
144,7444.414848484848,OLDHAM 1
145,7461.9951515151515,OLDHAM 1
146,7479.575454545455,OLDHAM 1
147,7497.155757575758,OLDHAM 1
148,7514.73606060606,OLDHAM 1
149,7532.316363636363,OLDHAM 1
150,7549.8966666666665,OLDHAM 1
151,7567.47696969697,OLDHAM 1
152,7585.057272727273,OLDHAM 1
153,7602.637575757575,OLDHAM 1
154,7620.217878787878,OLDHAM 1
155,7637.798181818182,OLDHAM 1
156,7655.378484848485,OLDHAM 1
157,7672.958787878788,OLDHAM 1
158,7690.539090909091,OLDHAM 1
159,7708.119393939393,OLDHAM 1
160,7725.699696969697,OLDHAM 1
161,7743.28,OLDHAM 1
162,7761.3178947368415,OLDHAM 1
163,7779.355789473684,OLDHAM 1
164,7797.393684210526,OLDHAM 1
165,7815.4315789473685,OLDHAM 1
166,7833.46947368421,OLDHAM 1
167,7851.507368421053,OLDHAM 1
168,7869.545263157895,OLDHAM 1
169,7887.583157894736,OLDHAM 1
170,7905.621052631579,OLDHAM 1
171,7923.658947368421,OLDHAM 1
172,7941.696842105263,OLDHAM 1
173,7959.734736842105,OLDHAM 1
174,7977.772631578948,OLDHAM 1
175,7995.8105263157895,OLDHAM 1
176,8013.848421052631,OLDHAM 1
177,8031.886315789474,OLDHAM 1
178,8049.924210526316,OLDHAM 1
179,8067.962105263158,OLDHAM 1
0,5261.4,OLDHAM 39 2
1,5276.727,OLDHAM 39 2
2,5292.054,OLDHAM 39 2
3,5307.380999999999,OLDHAM 39 2
4,5322.708,OLDHAM 39 2
5,5338.035,OLDHAM 39 2
6,5353.361999999999,OLDHAM 39 2
7,5368.688999999999,OLDHAM 39 2
8,5384.016,OLDHAM 39 2
9,5399.343,OLDHAM 39 2
10,5414.67,OLDHAM 39 2
11,5429.996999999999,OLDHAM 39 2
12,5445.324,OLDHAM 39 2
13,5460.651,OLDHAM 39 2
14,5475.977999999999,OLDHAM 39 2
15,5491.304999999999,OLDHAM 39 2
16,5506.632,OLDHAM 39 2
17,5521.959,OLDHAM 39 2
18,5537.286,OLDHAM 39 2
19,5552.612999999999,OLDHAM 39 2
20,5567.94,OLDHAM 39 2
21,5582.636874999999,OLDHAM 39 2
22,5597.33375,OLDHAM 39 2
23,5612.030624999999,OLDHAM 39 2
24,5626.7275,OLDHAM 39 2
25,5641.424375,OLDHAM 39 2
26,5656.12125,OLDHAM 39 2
27,5670.818125,OLDHAM 39 2
28,5685.514999999999,OLDHAM 39 2
29,5700.211875,OLDHAM 39 2
30,5714.90875,OLDHAM 39 2
31,5729.605625,OLDHAM 39 2
32,5744.3025,OLDHAM 39 2
33,5758.999375,OLDHAM 39 2
