Well,MD,Class 1,Class 2,Class 3,Class 3b,Class 4,MD(ft)
PEL_NQ_APO-1001A,2755.718744,0,0,1,0,0,9041.072285
PEL_NQ_APO-1001A,2756.10239,3,0,0,0,0,9042.330966
PEL_NQ_APO-1001A,2756.454408,1,0,0,0,0,9043.48588
PEL_NQ_APO-1001A,2756.470456,0,1,0,0,0,9043.53853
PEL_NQ_APO-1001A,2756.554567,0,0,1,0,0,9043.814487
PEL_NQ_APO-1001A,2756.627703,0,0,0,1,0,9044.054432
PEL_NQ_APO-1001A,2756.906909,3,0,0,0,0,9044.970464
PEL_NQ_APO-1001A,2757.287846,1,0,0,0,0,9046.220258
PEL_NQ_APO-1001A,2757.304276,0,1,0,0,0,9046.274162
PEL_NQ_APO-1001A,2757.39039,0,0,1,0,0,9046.556689
PEL_NQ_APO-1001A,2757.711428,3,0,0,0,0,9047.609961
PEL_NQ_APO-1001A,2757.884049,0,0,0,1,0,9048.176304
PEL_NQ_APO-1001A,2758.060348,0,0,0,2,0,9048.754713
PEL_NQ_APO-1001A,2758.121285,1,0,0,0,0,9048.954636
PEL_NQ_APO-1001A,2758.138097,0,1,0,0,0,9049.009793
PEL_NQ_APO-1001A,2758.226214,0,0,1,0,0,9049.29889
PEL_NQ_APO-1001A,2758.515947,3,0,0,0,0,9050.249459
PEL_NQ_APO-1001A,2758.954723,1,0,0,0,0,9051.689013
PEL_NQ_APO-1001A,2758.971917,0,1,0,0,0,9051.745424
PEL_NQ_APO-1001A,2759.062037,0,0,1,0,0,9052.041092
PEL_NQ_APO-1001A,2759.140396,0,0,0,1,0,9052.298176
PEL_NQ_APO-1001A,2759.320466,3,0,0,0,0,9052.888956
PEL_NQ_APO-1001A,2759.788161,1,0,0,0,0,9054.423391
PEL_NQ_APO-1001A,2759.805737,0,1,0,0,0,9054.481055
PEL_NQ_APO-1001A,2759.89786,0,0,1,0,0,9054.783294
PEL_NQ_APO-1001A,2759.959884,0,2,0,0,0,9054.986786
